Day,Hours,Minutes,Voltage (V),Current (A),Power (W),Power Factor,Frequency (Hz),Energy (kWh),Inside Temperature (°C),Outside Temperature (°C),Inside Humidity (%),Outside Humidity (%)
2023-07-04,10,20,231.3,7.25,1576.0,0.94,49.4,8561.0,25.3,28.1,76.7,79.0
2023-07-04,10,20,231.3,7.25,1576.0,0.94,49.4,8561.0,25.3,28.1,76.7,79.0
2023-07-05,15,58,231.3,7.52,1600.0,0.92,49.2,8626.0,25.1,28.4,78.6,79.9
2023-07-05,15,58,231.3,7.52,1600.0,0.92,49.2,8626.0,25.1,28.4,78.6,79.9
2023-07-06,05,19,231.7,7.1,1563.0,0.95,49.3,8634.0,24.7,27.9,78.6,79.5
2023-07-06,05,19,231.7,7.1,1563.0,0.95,49.3,8634.0,24.7,27.9,78.6,79.5
2023-07-07,17,38,232.2,7.46,1576.0,0.91,49.4,8681.0,24.3,27.9,79.7,78.9
2023-07-07,17,38,232.2,7.46,1576.0,0.91,49.4,8681.0,24.3,27.9,79.7,78.9
2023-07-08,01,01,231.8,7.48,1526.0,0.88,49.5,8715.0,24.5,27.5,81.2,79.3
2023-07-08,01,01,231.8,7.48,1526.0,0.88,49.5,8715.0,24.5,27.5,81.2,79.3
2023-07-09,22,16,231.9,7.72,1558.0,0.87,49.4,8750.0,25.0,28.0,80.3,79.0
2023-07-09,22,16,231.9,7.72,1558.0,0.87,49.4,8750.0,25.0,28.0,80.3,79.0
2023-07-10,11,07,232.1,7.67,1638.0,0.92,49.4,8823.0,25.3,28.4,79.5,77.8
2023-07-10,11,07,232.1,7.67,1638.0,0.92,49.4,8823.0,25.3,28.4,79.5,77.8
2023-07-11,05,20,231.8,7.98,1739.0,0.94,49.5,8847.0,25.5,28.9,81.2,76.1
2023-07-11,05,20,231.8,7.98,1739.0,0.94,49.5,8847.0,25.5,28.9,81.2,76.1
2023-07-12,22,42,231.6,7.91,1777.0,0.97,49.5,8898.0,25.7,28.8,80.7,74.3
2023-07-12,22,42,231.6,7.91,1777.0,0.97,49.5,8898.0,25.7,28.8,80.7,74.3
2023-07-13,09,02,231.3,8.02,1799.0,0.97,49.6,8962.0,25.5,28.6,80.3,74.0
2023-07-13,09,02,231.3,8.02,1799.0,0.97,49.6,8962.0,25.5,28.6,80.3,74.0
2023-07-14,00,54,231.8,7.66,1651.0,0.93,49.8,9054.0,25.3,29.1,80.3,73.3
2023-07-14,00,54,231.8,7.66,1651.0,0.93,49.8,9054.0,25.3,29.1,80.3,73.3
2023-07-15,00,55,231.6,7.62,1694.0,0.96,49.9,9077.0,25.4,29.0,81.6,75.0
2023-07-15,00,55,231.6,7.62,1694.0,0.96,49.9,9077.0,25.4,29.0,81.6,75.0
2023-07-16,09,34,231.2,7.34,1697.0,1.0,49.8,9114.0,25.7,29.1,82.4,74.4
2023-07-16,09,34,231.2,7.34,1697.0,1.0,49.8,9114.0,25.7,29.1,82.4,74.4
2023-07-17,17,23,231.3,7.55,1746.0,1.0,50.0,9207.0,25.9,28.8,83.3,74.7
2023-07-17,17,23,231.3,7.55,1746.0,1.0,50.0,9207.0,25.9,28.8,83.3,74.7
2023-07-18,10,29,230.9,7.16,1587.0,0.96,49.9,9295.0,25.9,28.5,85.0,76.6
2023-07-18,10,29,230.9,7.16,1587.0,0.96,49.9,9295.0,25.9,28.5,85.0,76.6
2023-07-19,06,12,230.7,7.15,1633.0,0.99,49.7,9392.0,25.9,28.0,85.2,75.4
2023-07-19,06,12,230.7,7.15,1633.0,0.99,49.7,9392.0,25.9,28.0,85.2,75.4
2023-07-20,02,47,230.5,7.29,1680.0,1.0,49.5,9448.0,25.8,27.6,83.5,77.2
2023-07-20,02,47,230.5,7.29,1680.0,1.0,49.5,9448.0,25.8,27.6,83.5,77.2
2023-07-21,13,31,230.8,7.74,1786.0,1.0,49.4,9532.0,25.8,27.9,84.5,77.6
2023-07-21,13,31,230.8,7.74,1786.0,1.0,49.4,9532.0,25.8,27.9,84.5,77.6
2023-07-22,01,47,230.6,7.71,1778.0,1.0,49.4,9593.0,25.5,28.2,84.9,77.4
2023-07-22,01,47,230.6,7.71,1778.0,1.0,49.4,9593.0,25.5,28.2,84.9,77.4
2023-07-23,09,58,230.4,8.09,1827.0,0.98,49.2,9626.0,25.1,28.7,84.8,77.3
2023-07-23,09,58,230.4,8.09,1827.0,0.98,49.2,9626.0,25.1,28.7,84.8,77.3
2023-07-24,14,46,230.8,8.08,1865.0,1.0,49.3,9643.0,25.3,28.9,83.2,77.0
2023-07-24,14,46,230.8,8.08,1865.0,1.0,49.3,9643.0,25.3,28.9,83.2,77.0
2023-07-25,03,18,231.2,7.86,1817.0,1.0,49.4,9712.0,24.9,29.1,83.9,76.8
2023-07-25,03,18,231.2,7.86,1817.0,1.0,49.4,9712.0,24.9,29.1,83.9,76.8
2023-07-26,16,41,231.4,8.11,1877.0,1.0,49.3,9793.0,25.0,29.5,84.1,78.4
2023-07-26,16,41,231.4,8.11,1877.0,1.0,49.3,9793.0,25.0,29.5,84.1,78.4
2023-07-27,19,52,231.3,7.74,1790.0,1.0,49.2,9867.0,25.4,29.0,83.1,78.2
2023-07-27,19,52,231.3,7.74,1790.0,1.0,49.2,9867.0,25.4,29.0,83.1,78.2
2023-07-28,01,56,230.9,7.87,1817.0,1.0,49.1,9893.0,25.1,29.4,84.3,78.8
2023-07-28,01,56,230.9,7.87,1817.0,1.0,49.1,9893.0,25.1,29.4,84.3,78.8
2023-07-29,03,32,230.8,7.72,1782.0,1.0,49.3,9925.0,24.7,29.2,86.1,77.5
2023-07-29,03,32,230.8,7.72,1782.0,1.0,49.3,9925.0,24.7,29.2,86.1,77.5
2023-07-30,16,55,230.9,7.8,1747.0,0.97,49.3,9999.99,24.8,28.9,86.6,75.6
2023-07-30,16,55,230.9,7.8,1747.0,0.97,49.3,9999.99,24.8,28.9,86.6,75.6
2023-07-31,11,41,231.4,7.7,1746.0,0.98,49.3,9999.99,24.8,28.4,86.6,76.0
2023-07-31,11,41,231.4,7.7,1746.0,0.98,49.3,9999.99,24.8,28.4,86.6,76.0
2023-08-01,21,10,231.0,7.69,1776.0,1.0,49.4,9999.99,24.5,28.1,88.6,75.9
2023-08-01,21,10,231.0,7.69,1776.0,1.0,49.4,9999.99,24.5,28.1,88.6,75.9
2023-08-02,22,33,231.3,7.5,1735.0,1.0,49.6,9999.99,24.8,27.9,87.6,74.1
2023-08-02,22,33,231.3,7.5,1735.0,1.0,49.6,9999.99,24.8,27.9,87.6,74.1
2023-08-03,16,34,231.1,7.33,1694.0,1.0,49.6,9999.99,25.3,27.6,88.0,76.0
2023-08-03,16,34,231.1,7.33,1694.0,1.0,49.6,9999.99,25.3,27.6,88.0,76.0
2023-08-04,10,03,231.1,7.64,1766.0,1.0,49.7,9999.99,25.3,27.9,89.3,74.1
2023-08-04,10,03,231.1,7.64,1766.0,1.0,49.7,9999.99,25.3,27.9,89.3,74.1
2023-08-05,21,36,231.6,7.2,1634.0,0.98,49.9,9999.99,25.3,27.6,88.1,75.0
2023-08-05,21,36,231.6,7.2,1634.0,0.98,49.9,9999.99,25.3,27.6,88.1,75.0
2023-08-06,02,53,231.8,6.84,1586.0,1.0,50.0,9999.99,25.2,27.6,86.5,73.1
2023-08-06,02,53,231.8,6.84,1586.0,1.0,50.0,9999.99,25.2,27.6,86.5,73.1
2023-08-07,21,27,231.8,7.06,1620.0,0.99,49.8,9999.99,24.7,27.3,87.1,74.2
2023-08-07,21,27,231.8,7.06,1620.0,0.99,49.8,9999.99,24.7,27.3,87.1,74.2
2023-08-08,07,11,231.5,6.95,1545.0,0.96,49.7,9999.99,25.0,27.1,86.9,74.8
2023-08-08,07,11,231.5,6.95,1545.0,0.96,49.7,9999.99,25.0,27.1,86.9,74.8
2023-08-09,17,17,231.7,6.66,1466.0,0.95,49.8,9999.99,24.9,26.9,87.2,72.9
2023-08-09,17,17,231.7,6.66,1466.0,0.95,49.8,9999.99,24.9,26.9,87.2,72.9
2023-08-10,15,31,231.7,6.38,1419.0,0.96,49.9,9999.99,24.7,26.9,89.1,74.6
2023-08-10,15,31,231.7,6.38,1419.0,0.96,49.9,9999.99,24.7,26.9,89.1,74.6
2023-08-11,01,28,232.1,6.49,1401.0,0.93,49.9,9999.99,25.1,26.5,89.2,76.4
2023-08-11,01,28,232.1,6.49,1401.0,0.93,49.9,9999.99,25.1,26.5,89.2,76.4
2023-08-12,10,25,232.5,6.99,1446.0,0.89,50.0,9999.99,25.0,26.5,87.9,77.8
2023-08-12,10,25,232.5,6.99,1446.0,0.89,50.0,9999.99,25.0,26.5,87.9,77.8
2023-08-13,19,26,232.9,7.23,1566.0,0.93,49.9,9999.99,25.5,26.9,87.6,79.4
2023-08-13,19,26,232.9,7.23,1566.0,0.93,49.9,9999.99,25.5,26.9,87.6,79.4
2023-08-14,18,11,232.9,6.86,1502.0,0.94,49.9,9999.99,25.5,26.7,86.6,79.9
2023-08-14,18,11,232.9,6.86,1502.0,0.94,49.9,9999.99,25.5,26.7,86.6,79.9
2023-08-15,19,58,232.4,6.37,1406.0,0.95,49.9,9999.99,25.3,26.3,87.1,81.2
2023-08-15,19,58,232.4,6.37,1406.0,0.95,49.9,9999.99,25.3,26.3,87.1,81.2
2023-08-16,19,24,232.0,6.38,1391.0,0.94,49.8,9999.99,25.0,26.6,88.1,82.0
2023-08-16,19,24,232.0,6.38,1391.0,0.94,49.8,9999.99,25.0,26.6,88.1,82.0
2023-08-17,06,37,232.2,6.72,1545.0,0.99,49.9,9999.99,24.5,27.0,86.8,83.5
2023-08-17,06,37,232.2,6.72,1545.0,0.99,49.9,9999.99,24.5,27.0,86.8,83.5
2023-08-18,20,23,232.6,6.83,1557.0,0.98,49.8,9999.99,24.6,27.0,85.2,81.5
2023-08-18,20,23,232.6,6.83,1557.0,0.98,49.8,9999.99,24.6,27.0,85.2,81.5
2023-08-19,23,19,232.9,7.18,1605.0,0.96,49.6,9999.99,24.3,26.6,85.3,79.9
2023-08-19,23,19,232.9,7.18,1605.0,0.96,49.6,9999.99,24.3,26.6,85.3,79.9
2023-08-20,19,57,233.2,7.36,1716.0,1.0,49.7,9999.99,24.2,26.4,86.7,79.0
2023-08-20,19,57,233.2,7.36,1716.0,1.0,49.7,9999.99,24.2,26.4,86.7,79.0
2023-08-21,20,31,232.7,7.36,1696.0,0.99,49.7,9999.99,24.2,26.9,86.7,79.6
2023-08-21,20,31,232.7,7.36,1696.0,0.99,49.7,9999.99,24.2,26.9,86.7,79.6
2023-08-22,20,43,233.1,7.75,1770.0,0.98,49.8,9999.99,23.9,27.0,88.3,81.2
2023-08-22,20,43,233.1,7.75,1770.0,0.98,49.8,9999.99,23.9,27.0,88.3,81.2
2023-08-23,06,58,233.0,7.4,1604.0,0.93,49.9,9999.99,24.1,27.2,86.5,82.3
2023-08-23,06,58,233.0,7.4,1604.0,0.93,49.9,9999.99,24.1,27.2,86.5,82.3
2023-08-24,06,46,232.6,7.23,1614.0,0.96,49.9,9999.99,24.0,26.9,84.7,82.0
2023-08-24,06,46,232.6,7.23,1614.0,0.96,49.9,9999.99,24.0,26.9,84.7,82.0
2023-08-25,06,02,232.5,7.68,1732.0,0.97,50.0,9999.99,23.5,26.9,84.5,81.2
2023-08-25,06,02,232.5,7.68,1732.0,0.97,50.0,9999.99,23.5,26.9,84.5,81.2
2023-08-26,22,53,232.3,7.91,1782.0,0.97,50.2,9999.99,23.7,26.6,83.4,80.2
2023-08-26,22,53,232.3,7.91,1782.0,0.97,50.2,9999.99,23.7,26.6,83.4,80.2
2023-08-27,09,41,231.9,7.78,1768.0,0.98,50.2,9999.99,23.8,26.5,84.0,81.4
2023-08-27,09,41,231.9,7.78,1768.0,0.98,50.2,9999.99,23.8,26.5,84.0,81.4
2023-08-28,14,50,232.1,7.41,1720.0,1.0,50.3,9999.99,24.0,26.1,85.7,83.1
2023-08-28,14,50,232.1,7.41,1720.0,1.0,50.3,9999.99,24.0,26.1,85.7,83.1
2023-08-29,21,13,232.4,7.51,1693.0,0.97,50.1,9999.99,23.9,25.8,85.0,81.4
2023-08-29,21,13,232.4,7.51,1693.0,0.97,50.1,9999.99,23.9,25.8,85.0,81.4
2023-08-30,19,36,232.5,7.82,1709.0,0.94,50.1,9999.99,24.1,26.0,85.8,81.7
2023-08-30,19,36,232.5,7.82,1709.0,0.94,50.1,9999.99,24.1,26.0,85.8,81.7
2023-08-31,04,29,232.3,8.27,1806.0,0.94,50.1,9999.99,23.8,25.5,84.7,83.0
2023-08-31,04,29,232.3,8.27,1806.0,0.94,50.1,9999.99,23.8,25.5,84.7,83.0
2023-09-01,02,14,232.3,8.23,1874.0,0.98,50.2,9999.99,23.5,25,83.5,83.9
2023-09-01,02,14,232.3,8.23,1874.0,0.98,50.2,9999.99,23.5,25,83.5,83.9
2023-09-02,07,42,232.8,8.15,1878.0,0.99,50.2,9999.99,23.1,25.3,83.1,83.7
2023-09-02,07,42,232.8,8.15,1878.0,0.99,50.2,9999.99,23.1,25.3,83.1,83.7
2023-09-03,19,42,232.3,7.87,1828.0,1.0,50.2,9999.99,23.2,25.8,82.4,85.4
2023-09-03,19,42,232.3,7.87,1828.0,1.0,50.2,9999.99,23.2,25.8,82.4,85.4
2023-09-04,04,14,231.9,7.82,1741.0,0.96,50.3,9999.99,23.4,26.0,82.6,86.7
2023-09-04,04,14,231.9,7.82,1741.0,0.96,50.3,9999.99,23.4,26.0,82.6,86.7
2023-09-05,09,41,231.5,7.58,1649.0,0.94,50.4,9999.99,23.6,26.3,83.6,86.0
2023-09-05,09,41,231.5,7.58,1649.0,0.94,50.4,9999.99,23.6,26.3,83.6,86.0
2023-09-06,01,56,231.1,7.64,1660.0,0.94,50.2,9999.99,23.1,26.6,83.5,84.4
2023-09-06,01,56,231.1,7.64,1660.0,0.94,50.2,9999.99,23.1,26.6,83.5,84.4
2023-09-07,23,42,230.8,7.8,1638.0,0.91,50.0,9999.99,23.0,26.1,83.6,82.7
2023-09-07,23,42,230.8,7.8,1638.0,0.91,50.0,9999.99,23.0,26.1,83.6,82.7
2023-09-08,17,07,230.7,7.42,1541.0,0.9,49.9,9999.99,23.3,26.4,84.4,84.5
2023-09-08,17,07,230.7,7.42,1541.0,0.9,49.9,9999.99,23.3,26.4,84.4,84.5
2023-09-09,13,16,230.4,7.83,1696.0,0.94,50.0,9999.99,23.5,26.5,84.6,82.7
2023-09-09,13,16,230.4,7.83,1696.0,0.94,50.0,9999.99,23.5,26.5,84.6,82.7
2023-09-10,09,57,230.3,7.64,1601.0,0.91,49.9,9999.99,23.9,26.6,86.3,81.0
2023-09-10,09,57,230.3,7.64,1601.0,0.91,49.9,9999.99,23.9,26.6,86.3,81.0
2023-09-11,05,38,230.2,7.33,1586.0,0.94,50.1,9999.99,24.1,26.3,86.1,82.0
2023-09-11,05,38,230.2,7.33,1586.0,0.94,50.1,9999.99,24.1,26.3,86.1,82.0
2023-09-12,06,21,230.6,7.25,1588.0,0.95,50.1,9999.99,24.0,26.4,87.2,82.9
2023-09-12,06,21,230.6,7.25,1588.0,0.95,50.1,9999.99,24.0,26.4,87.2,82.9
2023-09-13,05,15,230.8,7.0,1503.0,0.93,50.3,9999.99,23.5,26.1,88.8,83.1
2023-09-13,05,15,230.8,7.0,1503.0,0.93,50.3,9999.99,23.5,26.1,88.8,83.1
2023-09-14,19,08,230.9,7.16,1587.0,0.96,50.3,9999.99,23.8,25.7,88.7,81.3
2023-09-14,19,08,230.9,7.16,1587.0,0.96,50.3,9999.99,23.8,25.7,88.7,81.3
2023-09-15,14,30,231.0,7.51,1700.0,0.98,50.1,9999.99,23.5,25.5,87.0,81.1
2023-09-15,14,30,231.0,7.51,1700.0,0.98,50.1,9999.99,23.5,25.5,87.0,81.1
2023-09-16,03,28,231.1,7.76,1740.0,0.97,50.2,9999.99,23.2,25.8,86.7,81.9
2023-09-16,03,28,231.1,7.76,1740.0,0.97,50.2,9999.99,23.2,25.8,86.7,81.9
2023-09-17,07,04,231.1,8.02,1779.0,0.96,50.2,9999.99,23.2,26.3,87.8,82.0
2023-09-17,07,04,231.1,8.02,1779.0,0.96,50.2,9999.99,23.2,26.3,87.8,82.0
2023-09-18,05,28,231.1,8.29,1839.0,0.96,50.2,9999.99,23.2,26.2,89.6,82.0
2023-09-18,05,28,231.1,8.29,1839.0,0.96,50.2,9999.99,23.2,26.2,89.6,82.0
2023-09-19,06,37,230.6,7.82,1803.0,1.0,50.0,9999.99,23.3,26.3,89.6,80.1
2023-09-19,06,37,230.6,7.82,1803.0,1.0,50.0,9999.99,23.3,26.3,89.6,80.1
2023-09-20,15,43,230.9,7.5,1732.0,1.0,50.1,9999.99,23.1,26.5,90,80.4
2023-09-20,15,43,230.9,7.5,1732.0,1.0,50.1,9999.99,23.1,26.5,90,80.4
2023-09-21,08,32,230.7,7.32,1672.0,0.99,50.2,9999.99,23.4,26.2,88.1,81.4
2023-09-21,08,32,230.7,7.32,1672.0,0.99,50.2,9999.99,23.4,26.2,88.1,81.4
2023-09-22,07,48,230.2,6.94,1550.0,0.97,50.2,9999.99,23.2,26.2,89.2,81.4
2023-09-22,07,48,230.2,6.94,1550.0,0.97,50.2,9999.99,23.2,26.2,89.2,81.4
2023-09-23,22,31,230.4,6.72,1486.0,0.96,50.2,9999.99,23.7,26.1,88.3,82.5
2023-09-23,22,31,230.4,6.72,1486.0,0.96,50.2,9999.99,23.7,26.1,88.3,82.5
2023-09-24,13,17,230.3,6.6,1398.0,0.92,50.1,9999.99,23.3,26.4,89.4,83.9
2023-09-24,13,17,230.3,6.6,1398.0,0.92,50.1,9999.99,23.3,26.4,89.4,83.9
2023-09-25,01,29,230.2,6.55,1447.0,0.96,50.2,9999.99,23.1,26.2,89.2,82.3
2023-09-25,01,29,230.2,6.55,1447.0,0.96,50.2,9999.99,23.1,26.2,89.2,82.3
2023-09-26,01,44,230.3,6.18,1423.0,1.0,50.4,9999.99,23.1,26.2,90,81.7
2023-09-26,01,44,230.3,6.18,1423.0,1.0,50.4,9999.99,23.1,26.2,90,81.7
2023-09-27,19,30,229.8,5.91,1317.0,0.97,50.3,9999.99,23.3,26.0,90,80.6
2023-09-27,19,30,229.8,5.91,1317.0,0.97,50.3,9999.99,23.3,26.0,90,80.6
2023-09-28,07,06,229.6,6.04,1387.0,1.0,50.1,9999.99,23.7,26.1,90,81.2
2023-09-28,07,06,229.6,6.04,1387.0,1.0,50.1,9999.99,23.7,26.1,90,81.2
2023-09-29,00,58,229.4,6.44,1477.0,1.0,50.0,9999.99,23.9,26.4,90,82.9
2023-09-29,00,58,229.4,6.44,1477.0,1.0,50.0,9999.99,23.9,26.4,90,82.9
2023-09-30,12,28,229.8,6.71,1542.0,1.0,49.9,9999.99,23.4,26.1,88.8,82.0
2023-09-30,12,28,229.8,6.71,1542.0,1.0,49.9,9999.99,23.4,26.1,88.8,82.0
2023-10-01,09,32,229.4,6.64,1493.0,0.98,49.9,9999.99,23.7,26.2,60,60
2023-10-01,09,32,229.4,6.64,1493.0,0.98,49.9,9999.99,23.7,26.2,60,60
2023-10-02,16,25,229.3,6.65,1464.0,0.96,49.9,9999.99,24,26.2,60,58.9
2023-10-02,16,25,229.3,6.65,1464.0,0.96,49.9,9999.99,24,26.2,60,58.9
2023-10-03,10,44,229.6,7.05,1602.0,0.99,50.1,9999.99,24,26.0,58.4,57.0
2023-10-03,10,44,229.6,7.05,1602.0,0.99,50.1,9999.99,24,26.0,58.4,57.0
2023-10-04,03,21,229.6,6.64,1464.0,0.96,50.3,9999.99,23.8,26.4,57.1,58.2
2023-10-04,03,21,229.6,6.64,1464.0,0.96,50.3,9999.99,23.8,26.4,57.1,58.2
2023-10-05,03,14,230.1,6.19,1396.0,0.98,50.4,9999.99,24,26.1,56.8,56.8
2023-10-05,03,14,230.1,6.19,1396.0,0.98,50.4,9999.99,24,26.1,56.8,56.8
2023-10-06,05,16,230.2,6.28,1359.0,0.94,50.3,9999.99,23.9,26.3,57.1,56.0
2023-10-06,05,16,230.2,6.28,1359.0,0.94,50.3,9999.99,23.9,26.3,57.1,56.0
2023-10-07,02,19,229.7,5.78,1208.0,0.91,50.1,9999.99,24,26.2,55.6,56.7
2023-10-07,02,19,229.7,5.78,1208.0,0.91,50.1,9999.99,24,26.2,55.6,56.7
2023-10-08,11,21,229.3,6.0,1293.0,0.94,50.2,9999.99,23.5,26.2,56.8,58.3
2023-10-08,11,21,229.3,6.0,1293.0,0.94,50.2,9999.99,23.5,26.2,56.8,58.3
2023-10-09,01,09,229.0,5.84,1297.0,0.97,50.2,9999.99,23.4,26.3,58.4,56.9
